ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
59;B0910;910;EN TRASLADO  (EPM BOGOTA);Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Se encontro bueno;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
60;B0912;912;ACTUALIZAR DATOS;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
61;B0916;916;SERVICIO ESPECIAL ACTIVADO/DESACTIVADO  (EPM BOGOTA);Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
62;B0920;920;SERVICIO ESPECIAL ACTIVADO/DESACTIVADO  (SUSCRIPTOR);Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2017-06-18 14:42:38.467;NULL;Plataforma TigoUne;Plataforma TI;Servicio Desaprovisionado
63;B0941;941;RESET AL PUERTO  (DSL);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.200;NULL;Plataforma Huawei;Plataforma TT;Plataforma Acceso Dslam
64;B0942;942;RESET AL MÓDEM LOCAL (DSL);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.680;NULL;Plataforma Huawei;Plataforma TT;Plataforma Acceso Dslam
65;B0943;943;RECONFIGURACION AL  MÓDEM LOCAL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.307;NULL;Equipo;Configuracion Equipos;Configuracion de modem
66;B0948;948;REPARADO EN CABLE DSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.810;NULL;Premisas;Red Externa;Cables
67;B0951;951;EQUIPO DEL CLIENTE (ROUTER/PLANTA);Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.530;NULL;Cliente;Equipos Cliente;Hardware De Usuario
68;B0957;957;PROBLEMAS EN EL SERVIDOR  (INTERNET);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;SI;OTRO;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
